price,address,bds,ba,sqft,image
"$339,000","325 E 41st St APT 104, New York, NY 10017",Studio,1,420,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,150,000","5339 208th St, Bayside, NY 11364",4,2,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$679,000","35 Bay St, Bronx, NY 10464",3,1,"1,036","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,488,000","19814 Epsom Crse, Jamaica, NY 11423",4,4,"3,500","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$120,000","495 E 178th St APT 2B, Bronx, NY 10457",2,1,"55,137","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$999,000","340 97th St, Brooklyn, NY 11209",3,2,"1,260","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$545,000","1658 Troy Ave, Brooklyn, NY 11234",3,3,"1,584","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$199,500","175 Zoe St APT 4P, Staten Island, NY 10305",1,1,474,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,550,000","736 Bergen St, Brooklyn, NY 11238",4,2,"2,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,198,000","107 W 86th St #4A, New York, NY 10024",2,2,"1,250","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,600,000","257 8th St APT 4, Brooklyn, NY 11215",3,2,"1,228","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$386,000","84-29 153rd Ave #4-H, Howard Beach, NY 11414",2,2,"1,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,765,000","4838 42nd St, Long Island City, NY 11104",6,3,"2,232","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$669,000","1713 E 35th St, Brooklyn, NY 11234",3,2,"1,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$900,000","2171 61st St, Brooklyn, NY 11204",5,3,"1,376","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$899,000","15325 58th Rd, Flushing, NY 11355",3,3,"1,224","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$287,000","92 Hamilton Ave #5DE, Yonkers, NY 10705",4,1,"2,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,005,000","132 Beach 130 St, Belle Harbor, NY 11694",4,2,"1,600","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,250,000","4038 189th St, Flushing, NY 11358",7,3,"4,050","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$389,000","1814 Forest Hill Rd, Staten Island, NY 10314",2,2,"1,008",N/A
"$339,000","3500 Snyder Ave APT 7M, Brooklyn, NY 11203",2,1,"1,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$559,000","1169 Grenada Pl, Bronx, NY 10466",4,4,"1,188","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$865,000","1464 E 23rd St, Brooklyn, NY 11210",3,3,"1,600","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,249,000","2424 E 14th St, Brooklyn, NY 11235",6,5,"1,980","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$255,000","3015 Hobart St #2H, Woodside, NY 11377",1,1,480,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$750,000","1584 Waring Ave, Bronx, NY 10469",3,2,"2,161","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$635,000","10731 Guy R Brewer Blvd, Jamaica, NY 11433",7,3,"2,800","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$849,998","46 Nichols Ave, Brooklyn, NY 11208",5,2,"2,116","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$287,000","92 Hamilton Ave #5ED, Yonkers, NY 10705",4,1,--,https://photos.zillowstatic.com/p_e/ISbh335dp3waq61000000000.jpg
"$1,350,000","357 W 55th St #5FG, New York, NY 10019",3,2,"1,400",https://photos.zillowstatic.com/fp/ac310f80af50033b43ced9da81d02a43-p_e.jpg
"$819,000","1997 New York Ave, Brooklyn, NY 11210",3,3,"2,000",https://photos.zillowstatic.com/fp/b44cb2beae0734fc3b71b5c4f95a8736-p_e.jpg
"$1,499,000","397 Bayside Ave, Breezy Point, NY 11697",3,2,"1,600",https://photos.zillowstatic.com/fp/75debba0479c4973d42d58a16555b69f-p_e.jpg
"$470,000","61-88 Dry Harbor Rd #5B, Middle Village, NY 11379",2,1,"1,000",https://photos.zillowstatic.com/p_e/ISzz9vdnhnwqld0000000000.jpg
"$190,000","5650 Netherland Ave APT 4B, Bronx, NY 10471",1,1,700,https://photos.zillowstatic.com/p_e/ISvslcov55rswh0000000000.jpg
"$2,000,000","107 Indiana Pl, Brooklyn, NY 11234",4,9,"2,348",N/A
"$919,000","764 Bergen St APT 3A, Brooklyn, NY 11238",2,1,915,https://photos.zillowstatic.com/p_e/ISvoe07rslon9l1000000000.jpg
"$640,000","1460 Bell Blvd FLOOR 1, Bayside, NY 11360",3,2,--,https://photos.zillowstatic.com/p_e/ISvw0bkobe3k5a1000000000.jpg
"$979,000","104 Quinlan Ave, Staten Island, NY 10314",6,5,"4,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$3,500,000","167 Nevada Ave, Staten Island, NY 10306",6,9,"6,776","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$525,000","17-85 215th St APT 9R, Bayside, NY 11360",1,1,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
